Coder	ID	Level	Unit_ID	#TS	Spr_ID	A_Prom	A_Pres	Quotation	Sp_Situation	VSymbol_art	VSymbol_flag	VSymbol_staff	VSymbol_celeb	VSymbol_mass	VSymbol_logo	VSymbol_slog	VSymbol_moni	VSymbol_build	Language_vulg	Language_slang	Language_foreign	Language_emot	Count_Issues_S	Count_ActEval_S	STYLE_Colloquial	STYLE_Casual	Sample	Sample_Country	Sample_Lang	Sample_Type	Medium	Date	Weight	POPULIST	POPULIST_PeopleCent	POPULIST_AntiElite	POPULIST_Sovereign	POPULIST_Advocative	POPULIST_Conflictive	ANTIPOPULIST	APOPULIST_PeopleCent	APOPULIST_AntiElite	APOPULIST_Sovereign	APOPULIST_Advocative	APOPULIST_Conflictive	LW_Attack	Migrants_Mentioned	Migrants_Neg	Migrants_Pos	Iss_Heartland	Iss_Migration	Iss_Labor	Iss_Social	Iss_Labreg_Pro	Iss_Labreg_Con	Iss_Labreg_Neut	Iss_Migres_Pro	Iss_Migres_Con	Iss_Migres_Neut	Spr_attacked	Spr_praised	Spr_agreed	Spr_disagreed	Spr_attacked_J	Spr_praised_J	Spr_agreed_J	Spr_disagreed_J	Iss_Pos_differ	Iss_Pos_contra	Iss_Pos_differ_J	Iss_Pos_contra_J	Tgt_differ	Tgt_differ_J	STYLE_Facts	STYLE_Sense	STYLE_BlackWhite	STYLE_Sarcasm	STYLE_Drama	STYLE_EmoTone	STYLE_CommMan	STYLE_UsThem	STYLE_Privat	STYLE_Coll_pos	STYLE_Coll_neg	STYLE_Emph	Challenged	Challenged_J	Usual_Suspect	Speaker_Actor_Type	On_Migration	On_Labor	AE_Total	PC_Total	RS_Total	AE_Emph	AE_Unchall	PC_Emph	PC_Unchall	RS_Emph	RS_Unchall	AE_Mig	AE_Mig_Emph	AE_Mig_Unchall	AE_Mig_Pro	AE_Mig_Con	PC_Mig	PC_Mig_Emph	PC_Mig_Unchall	PC_Mig_Pro	PC_Mig_Con	RS_Mig	RS_Mig_Emph	RS_Mig_Unchall	RS_Mig_Pro	RS_Mig_Con	Mig_Con	Mig_Con_Emph	Mig_Con_Unchall	Mig_Neut	Mig_Neut_Emph	Mig_Neut_Unchall	Mig_Pro	Mig_Pro_Emph	Mig_Pro_Unchall	AE_Lab	AE_Lab_Emph	AE_Lab_Unchall	PC_Lab	PC_Lab_Emph	PC_Lab_Unchall	RS_Lab	RS_Lab_Emph	RS_Lab_Unchall	Lab_Con	Lab_Con_Emph	Lab_Con_Unchall	Lab_Neut	Lab_Neut_Emph	Lab_Neut_Unchall	Lab_Pro	Lab_Pro_Emph	Lab_Pro_Unchall	POP_Total	POP_Unchall	POP_Emph
andi	au_pm_el_02_50014.txt	Speaker	Journ	1405332770.16	11801														0	0	0	0	1	0	9	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
andi	au_pm_el_02_50020.txt	Speaker	Journ	1405334952.5	11801														0	0	1	0	2	1	-1	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
andi	au_pm_el_02_10028.txt	Speaker	Journ	1405349655.7	11803														0	0	0	0	1	1	9	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
andi	au_pm_el_02_10041.txt	Speaker	Journ	1405409039.98	11803														0	0	1	0	2	3	-1	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
andi	au_pm_el_02_10041.txt	Speaker	Spr01	1405408907.83	11910	2	0	3											0	0	0	0	1		9	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
andi	au_pm_el_02_40043.txt	Speaker	Journ	1405410925.25	11802														0	0	0	0	1	0	9	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
andi	au_pm_el_02_10001.txt	Speaker	Journ	1405513360.15	11803														0	0	0	0	1	1	9	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
andi	au_pm_el_02_40048.txt	Speaker	Journ	1405580686.5	11802														0	0	0	0	1	1	9	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
andi	au_pm_el_02_50004.txt	Speaker	Journ	1405671634.69	11801														0	0	0	0	1	1	9	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
andi	au_pm_el_02_40035.txt	Speaker	Journ	1405673064.84	11802														0	0	0	0	1	1	9	0	au_pm_02	au	Deutsch	Past_PartyMan	1160	24.11.2002	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
